"","ID","NAME","LAT","LONG","ALT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"1","ID741","DEATH VALLEY",36.47,-116.87,-59,7.4,9.5,7.5,3.4,1.7,1,3.7,2.8,4.3,2.2,4.7,3.9
"2","ID743","THERMAL/FAA AIRPORT",33.63,-116.17,-34,9.2,6.9,7.9,1.8,1.6,0.4,1.9,3.4,5.3,2,6.3,5.5
"3","ID744","BRAWLEY 2SW",32.96,-115.55,-31,11.3,8.3,7.6,2,0.8,0.1,1.9,9.2,6.5,5,4.8,9.7
"4","ID753","IMPERIAL/FAA AIRPORT",32.83,-115.57,-18,10.6,7,6.1,2.5,0.2,0,2.4,2.6,8.3,5.4,7.7,7.3
"5","ID754","NILAND",33.28,-115.51,-18,9,8,9,3,0,1,8,9,7,8,7,9
"6","ID758","EL CENTRO/NAF",32.82,-115.67,-13,9.8,1.6,3.7,3,0.4,0,3,10.8,0.2,0,3.3,1.4
"7","ID760","EL-CENTRO-2-SSW",32.76,-115.56,-9,9,7,5,1,1,0,2,9,8,8,7,11
"8","ID762","INDIO FIRE STATION",33.74,-116.27,-6,16.7,12.1,9.2,2.2,1.3,0.2,3.5,6.5,6.4,3.8,7.3,7.4
"9","ID1555","SANTA BARBARA",34.42,-119.69,2,106.3,107.1,72.9,32.1,7.6,2.2,0.6,0.6,5.3,11.4,47.8,63.7
"10","ID1556","SANTA BARBARA/FAA ARPT",34.43,-119.83,2,89.5,88.3,72.4,30.1,2,1.1,0.6,0.5,1.4,11.6,45.3,58
"11","ID2061","NEWPORT BEACH HARBOR",33.61,-117.89,3,67.7,65,49.6,22.5,4.3,1.3,0.4,1.7,6.2,6,33.6,42.5
"12","ID2062","INDIO            11",33.7,-116.3,3,16,13,8,3,1,0,3,7,8,5,6,13
"13","ID2063","POINT MUGU/NF",34.12,-119.12,3,69.9,63.3,47.7,17.6,1.9,0.7,0.3,0.3,1.6,4.4,40.5,41.3
"14","ID2082","NEWARK",37.51,-122.03,3,68,54,54,28,6,2,1,2,5,23,54,52
"15","ID2416","ALAMEDA (NAS)     1",37.78,-122.31,4,99,95,80,26,26,5,0,1,3,25,55,80
"16","ID2418","STOCKTON-FIRE-STN-4",38,-121.31,4,74,62,60,31,7,3,1,2,9,22,57,60
"17","ID2419","HAMILTON/AFB",38.07,-122.52,4,183.2,113.2,70.4,45.2,5,2.1,0,1.4,0.8,28.5,100,147.5
"18","ID2846","SAN-FRANCISCO-INT.-CA.",37.61,-122.38,5,110,80,78,35,5,3,1,1,5,31,73,79
"19","ID2848","SAN FRANCISCO       USA",37.8,-122.4,5,117.1,84.7,76.9,33.9,9.1,3.1,0.5,1.1,5.4,26.4,63.1,91
"20","ID3180","IMPERIAL BEACH/REAM FIELD NAS",32.57,-117.12,6,36.8,26.1,36.6,18.1,3.1,1.9,0.3,0.2,1.4,6.3,26.8,26
"21","ID3449","SCOTIA              USA",40.5,-124.1,7,236.7,188.9,173.9,86,36.7,13.9,1.5,7.4,22,83.2,182.7,227.5
"22","ID3703","LOS ALAMITOS",33.8,-118.05,8,54,31.8,33.9,27.6,3.8,1,0.3,0.4,1.1,1.9,35.5,29.8
"23","ID3718","PALO-ALTO",37.45,-122.13,8,77,64,60,27,5,2,1,2,5,22,53,63
"24","ID3720","PETALUMA-FIRE-STN-3",38.23,-122.63,8,137,102,87,38,7,4,1,2,8,40,95,105
"25","ID3721","SACRAMENTO-EXECUTIVECA.",38.51,-121.5,8,93,72,65,30,6,3,1,2,9,27,66,63
"26","ID3722","SACRAMENTO          USA",38.6,-121.4,8,93.5,74.3,63.5,31.7,9.6,4,0.9,1.8,8.8,23.1,55,67.1
"27","ID3730","KLAMATH",41.51,-124.03,8,312,255,276,141,86,34,9,26,52,143,332,337
"28","ID3962","SAN DIEGO/LINDBE  2",32.73,-117.16,9,74,58,74,18,3,3,1,1,6,10,26,35
"29","ID3977","REDWOOD-CITY",37.48,-122.23,9,106,83,79,33,6,2,1,2,6,29,73,82
"30","ID3979","ANTIOCH             USA",38,-121.8,9,77.9,55.8,42.5,27.6,8.5,2.7,1.1,2.1,5,20.5,43.7,59.2
"31","ID3981","PETALUMA FIRE STN #2",38.27,-122.66,9,146.8,118.7,84.6,40.6,13.2,4.8,0.8,2.1,6.6,35.4,88,110.1
"32","ID4421","S-F-RICHMOND-SUNSET",37.76,-122.5,10,122,87,77,34,7,4,1,3,5,38,86,89
"33","ID4570","LAGUNA-BEACH",33.55,-117.78,11,57,57,55,24,6,3,1,3,11,8,42,42
"34","ID4579","STOCKTON/METROPOLITAN AP",37.9,-121.25,11,73.6,58.6,50.6,29.5,8.6,2.3,0.6,0.8,3.2,18.8,47.7,54.3
"35","ID4580","NAPA STATE HOSPITAL",38.29,-122.27,11,143,113,89.5,41.7,17.7,5,0.8,2.7,8.8,37.4,87.7,111.9
"36","ID4787","SAN DIEGO/NORTH ISLAND NAS",32.7,-117.2,12,51.2,41.4,44.7,19.2,3.9,1.5,0.5,0.6,3.7,7.4,27.5,33.4
"37","ID4790","LONG BEACH AIRPO  2",33.81,-118.15,12,72,58,47,10,3,1,1,1,6,12,28,40
"38","ID4791","LONG BEACH CAL      USA",33.9,-118.4,12,79,62.1,51.2,26.2,4.4,0.7,0.2,1.1,6,7.3,46.1,44.6
"39","ID4802","MOFFET FIELD/NAS",37.42,-122.05,12,73,55.4,54.9,25.5,7.2,1.7,1,0.8,3.7,18.3,46.3,53.7
"40","ID4803","LODI",38.12,-121.29,12,92.7,76.1,65.9,33.8,12.7,3.5,1.2,1.3,8.1,23.4,58.9,72.3
"41","ID4804","FAIRFIELD-FIRE-STN-2",38.26,-122.03,12,123,85,80,33,8,3,1,3,8,35,82,84
"42","ID4941","OXNARD",34.2,-119.2,13,78,66,36,36,2,0,0,0,0,3,51,40
"43","ID4942","VENTURA             USA",34.3,-119.3,13,82.5,74.1,52.3,27.6,4.9,1,0.4,0.8,1.7,5,46.6,55.5
"44","ID4953","NICOLAUS-2",38.91,-121.55,13,94,72,72,35,9,6,2,2,11,33,81,73
"45","ID4955","EUREKA WSO",40.8,-124.17,13,177.4,135.7,134.2,73.8,42.7,16.3,3.5,9.2,20.1,69.3,149.1,165.6
"46","ID5099","TIJUANA, TIJUANA",32.55,-117.05,14,32,41,40,10,7,5,1,1,16,15,27,31
"47","ID5112","FORT-DICK",41.86,-124.15,14,295,242,265,139,97,41,9,26,54,147,314,319
"48","ID5463","COLUSA-2-SSW",39.2,-122.01,15,82,64,57,22,8,6,1,2,9,26,64,63
"49","ID5601","MODESTO             USA",37.7,-121,16,60,46.1,48.4,29.6,6.4,1.7,1.2,1.7,7.7,17.1,43.6,48.9
"50","ID5710","CULVER-CITY",34.01,-118.4,17,68,72,60,19,3,1,0,3,5,7,46,49
"51","ID5715","SALINAS             USA",36.7,-121.7,17,70.5,56.3,51.2,27.2,6.8,2,0.9,1.2,4.4,13.2,40.8,55.5
"52","ID5718","RICHMOND",37.93,-122.35,17,117,86,84,39,6,3,2,2,7,35,93,90
"53","ID5721","POINT-ARENA",38.95,-123.73,17,193,148,147,73,22,7,4,10,19,69,173,175
"54","ID5723","MARYSVILLE",39.16,-121.6,17,115.3,91.7,75.8,41.5,16.1,6.5,1,2.1,9,33.9,71.8,88.1
"55","ID5731","CRESCENT-CITY",41.78,-124.23,17,251,212,227,117,75,34,10,24,44,123,269,269
"56","ID5885","TUSTIN/MCAF",33.7,-117.83,18,61.7,67.9,46.7,16.6,2.5,1.1,0.6,1.1,3.3,5.1,30.9,37
"57","ID5886","LONG BEACH, CA   11",33.82,-118.15,18,75,76,61,25,7,2,0,1,5,12,32,62
"58","ID5892","SPRECKELS-HWY-BRIDGE",36.6,-121.68,18,65,55,63,33,6,3,2,2,7,18,50,54
"59","ID5894","ANTIOCH-PUMPING-PLT-3",37.98,-121.73,18,65,52,50,22,7,3,1,2,6,22,49,47
